,person_id,comp_f_min_score,comp_f_min_decile,comp_f_max_score,comp_f_max_decile,comp_r_min_score,comp_r_min_decile,comp_r_max_score,comp_r_max_decile,comp_v_min_score,comp_v_min_decile,comp_v_max_score,comp_v_max_decile
42,43,15,1,15,1,-2.74,1,-2.74,1,-4.33,1,-4.33,1
43,44,12,1,12,1,-0.88,3,-0.88,3,-2.54,3,-2.54,3
44,45,11,1,11,1,-2.56,1,-2.56,1,-4.21,1,-4.21,1
46,47,40,10,40,10,0.7,10,0.7,10,-1.1,8,-1.1,8
47,48,17,2,17,2,-0.81,3,-0.81,3,-2.19,4,-2.19,4
48,49,29,8,29,8,-0.46,5,-0.46,5,-2.59,2,-2.59,2
49,50,20,3,20,3,-0.82,3,-0.82,3,-2.81,2,-2.81,2
50,51,16,1,16,2,0.09,8,0.3,8,-1.18,8,-1.02,8
51,52,16,2,16,2,-0.73,5,-0.73,5,-2.67,2,-2.67,2
52,53,15,1,15,1,-1.23,2,-1.23,2,-2.49,3,-2.49,3
53,54,25,6,25,6,0.32,9,0.32,9,-1.55,6,-1.55,6
54,55,14,1,14,1,-1.08,2,-1.08,2,-2.62,2,-2.62,2
55,56,20,4,20,4,0.03,8,0.03,8,-1.16,8,-1.16,8
56,57,15,1,15,1,-1.77,1,-1.77,1,-3.6,1,-3.6,1
57,58,11,1,11,1,-1.97,1,-1.97,1,-3.41,1,-3.41,1
58,59,18,3,18,3,-1.33,2,-1.33,2,-2.78,2,-2.78,2
59,60,13,1,13,1,-0.25,6,-0.25,6,-1.35,7,-1.35,7
60,61,16,2,16,2,-1.32,2,-1.32,2,-2.82,2,-2.82,2
61,62,17,2,17,2,-0.01,7,-0.01,7,-1.98,4,-1.98,4
62,63,37,10,37,10,0.58,9,0.58,9,-0.31,10,-0.31,10
63,64,19,3,20,3,-0.06,7,-0.06,7,-2.8,2,-2.8,2
64,65,14,1,14,1,-1.55,1,-1.55,1,-2.9,2,-2.9,2
65,66,18,3,18,3,1.07,10,1.07,10,-0.77,9,-0.77,9
66,67,23,5,23,5,0.1,8,0.1,8,-2.54,3,-2.54,3
67,68,11,1,11,1,-2.43,1,-2.43,1,-3.94,1,-3.94,1
68,69,17,2,17,2,-0.94,3,-0.94,3,-2.64,2,-2.64,2
69,70,13,1,13,1,-0.59,4,-0.59,4,-2.41,3,-2.41,3
70,71,12,1,12,1,-1.22,2,-1.22,2,-2.86,2,-2.86,2
71,72,12,1,12,1,-1.45,2,-1.45,2,-2.71,2,-2.71,2
72,73,21,4,21,4,-1.08,2,-1.08,2,-3.21,1,-3.21,1
73,74,17,2,17,2,-0.98,3,-0.98,3,-2.35,3,-2.35,3
74,75,21,4,21,4,-0.27,6,-0.27,6,-2.13,4,-2.13,4
75,76,32,9,32,9,0.42,9,0.42,9,-0.45,10,-0.45,10
76,77,13,1,13,1,-2.51,1,-2.51,1,-4.23,1,-4.23,1
77,78,18,3,18,3,-0.28,6,-0.28,6,-2.21,4,-2.21,4
78,79,25,6,25,6,-0.43,5,-0.43,5,-1.45,7,-1.45,7
79,80,12,1,12,1,-0.6,4,-0.6,4,-2.04,4,-2.04,4
80,81,16,2,16,2,-0.46,5,-0.46,5,-2.51,3,-2.51,3
81,82,15,1,15,1,0.09,8,0.09,8,-2.71,2,-2.71,2
82,83,15,1,15,1,-0.01,7,-0.01,7,-2.36,3,-2.36,3
83,84,13,1,13,1,-2.05,1,-2.05,1,-3.38,1,-3.38,1
84,85,16,2,16,2,-0.51,5,-0.51,5,-2.93,2,-2.93,2
85,86,11,1,11,1,-1.84,1,-1.84,1,-3.18,1,-3.18,1
86,87,14,1,14,1,-0.93,3,-0.93,3,-2.94,2,-2.94,2
87,88,28,8,28,8,0.01,7,0.01,7,-1.91,5,-1.91,5
88,89,13,1,13,1,-1.84,1,-1.84,1,-3.25,1,-3.25,1
89,90,20,3,20,3,0.69,10,0.69,10,-0.9,9,-0.9,9
90,91,16,2,16,2,-1.11,2,-1.11,2,-2.7,2,-2.7,2
91,92,21,4,21,4,-0.17,6,-0.17,6,-2.41,3,-2.41,3
92,93,13,1,13,1,-0.62,4,-0.62,4,-1.61,6,-1.61,6
93,94,11,1,11,1,-1.88,1,-1.88,1,-3.31,1,-3.31,1
94,95,20,3,20,3,0.84,10,0.84,10,-0.65,9,-0.65,9
95,96,23,5,24,6,0.16,8,0.44,9,-1.8,5,-1.55,6
96,97,12,1,12,1,-1.98,1,-1.98,1,-3.88,1,-3.88,1
97,98,17,2,18,3,-0.33,5,-0.25,6,-2.32,3,-2.04,4
98,99,11,1,11,1,-1.88,1,-1.88,1,-3.24,1,-3.24,1
99,100,13,1,13,1,-2.57,1,-2.57,1,-4.15,1,-4.15,1
100,101,13,1,18,3,-2.08,1,-1.97,1,-3.62,1,-3.55,1
101,102,14,1,14,1,-0.52,4,-0.52,4,-1.59,6,-1.59,6
102,103,14,1,14,1,-1.2,3,-1.2,3,-2.62,2,-2.62,2
103,104,22,5,22,5,-0.56,4,-0.56,4,-2.03,4,-2.03,4
104,105,16,2,16,2,-0.63,4,-0.63,4,-2.87,2,-2.87,2
105,106,14,1,14,1,-0.22,6,-0.22,6,-2.03,4,-2.03,4
106,107,16,2,17,2,-0.26,6,-0.24,6,-2.48,3,-2.36,3
107,108,18,3,18,3,-0.22,6,-0.22,6,-2.31,3,-2.31,3
108,109,23,5,23,5,-1.31,2,-1.31,2,-2.98,1,-2.98,1
109,110,12,1,12,1,-0.96,4,-0.96,4,-2.61,2,-2.61,2
110,111,18,3,18,3,-1.21,2,-1.21,2,-3.27,1,-3.27,1
111,112,24,6,24,6,-1.59,1,-1.59,1,-3.66,1,-3.66,1
112,113,11,1,11,1,-0.91,3,-0.91,3,-2.38,3,-2.38,3
113,114,18,3,18,3,0.09,8,0.09,8,-1.56,6,-1.56,6
114,115,16,2,16,2,-0.98,4,-0.98,4,-2.32,3,-2.32,3
115,116,19,3,19,3,-0.06,7,-0.06,7,-1.2,8,-1.2,8
117,118,17,2,17,2,-1.64,1,-1.64,1,-2.47,3,-2.47,3
118,119,21,4,21,4,-1.36,2,-1.36,2,-3.05,1,-3.05,1
119,120,16,2,16,2,-1.02,2,-1.02,2,-2.81,2,-2.81,2
120,121,12,1,12,1,-2.53,1,-2.53,1,-4.05,1,-4.05,1
121,122,26,7,30,8,0.67,9,0.93,10,-0.8,9,-0.56,10
122,123,26,7,26,7,0.4,9,0.4,9,-2.52,3,-2.52,3
123,124,29,8,29,8,-0.46,5,-0.46,5,-3.24,1,-3.24,1
124,125,29,8,29,8,-0.21,6,-0.21,6,-1.79,5,-1.79,5
125,126,16,2,16,2,-0.19,6,-0.19,6,-1.78,5,-1.78,5
126,127,13,1,13,1,-1.64,1,-1.64,1,-2.84,2,-2.84,2
127,128,24,6,24,6,0.73,10,0.73,10,-0.25,10,-0.25,10
128,129,11,1,11,1,-2.33,1,-2.33,1,-3.83,1,-3.83,1
129,130,11,1,11,1,-0.33,5,-0.33,5,-1.21,8,-1.21,8
130,131,16,2,16,2,0.39,9,0.39,9,-0.57,10,-0.57,10
131,132,21,3,21,3,0.14,7,0.14,7,-1.25,8,-1.25,8
132,133,32,9,32,9,-0.22,6,-0.22,6,-1.74,5,-1.74,5
133,134,16,2,16,2,-0.47,5,-0.47,5,-1.99,4,-1.99,4
134,135,15,1,15,1,-0.07,7,-0.07,7,-1.54,6,-1.54,6
135,136,14,1,14,1,-1.53,2,-1.53,2,-2.95,1,-2.95,1
136,137,23,5,23,5,0.03,7,0.03,7,-1.54,6,-1.54,6
137,138,19,3,19,3,0.15,8,0.15,8,-2.15,4,-2.15,4
138,139,15,1,15,1,-0.21,6,-0.21,6,-1.5,6,-1.5,6
139,140,17,2,17,2,-1.28,3,-1.28,3,-2.28,3,-2.28,3
140,141,16,2,16,2,-0.32,5,-0.32,5,-1.98,4,-1.98,4
141,142,17,2,17,2,0.21,8,0.21,8,-0.91,9,-0.91,9
143,144,27,7,27,7,-0.92,3,-0.92,3,-2.89,2,-2.89,2
144,145,16,2,16,2,-0.23,7,-0.23,7,-1.22,8,-1.22,8
145,146,14,1,14,1,-1.53,1,-1.53,1,-3.23,1,-3.23,1
146,147,14,1,14,1,-2.07,1,-2.07,1,-3.95,1,-3.95,1
147,148,12,1,12,1,-2.36,1,-2.36,1,-4.03,1,-4.03,1
149,150,12,1,12,1,-2.2,1,-2.2,1,-3.71,1,-3.71,1
150,151,13,1,13,1,-0.72,4,-0.72,4,-1.45,7,-1.45,7
151,152,13,1,13,1,-1.16,2,-1.16,2,-2.25,3,-2.25,3
152,153,24,6,24,6,-1.09,2,-1.09,2,-2.64,2,-2.64,2
153,154,16,2,16,2,-1.94,1,-1.94,1,-3.41,1,-3.41,1
154,155,18,3,18,3,-1.25,3,-1.25,3,-3.03,1,-3.03,1
155,156,23,5,23,5,-0.15,6,-0.15,6,-1.52,6,-1.52,6
156,157,14,1,14,1,-0.66,4,-0.66,4,-2.58,2,-2.58,2
157,158,23,5,23,5,-0.51,5,-0.51,5,-2.68,2,-2.68,2
158,159,21,4,21,4,-0.96,4,-0.96,4,-2.28,3,-2.28,3
159,160,29,8,29,8,0.54,9,0.54,9,-2.18,4,-2.18,4
160,161,22,5,22,5,-0.17,6,-0.17,6,-2.4,3,-2.4,3
161,162,18,3,18,3,-1.11,3,-1.11,3,-2.21,4,-2.21,4
162,163,23,5,23,5,-1.47,1,-1.47,1,-3.34,1,-3.34,1
163,164,19,3,19,3,0.47,9,0.47,9,-1.68,6,-1.68,6
164,165,12,1,12,1,-0.82,4,-0.82,4,-2.05,4,-2.05,4
165,166,15,1,16,2,0.43,9,0.64,10,-1.56,6,-1.03,8
166,167,15,1,15,1,-0.09,7,-0.09,7,-2.46,3,-2.46,3
167,168,19,3,19,3,0.13,8,0.13,8,-1.54,6,-1.54,6
168,169,16,2,16,2,-0.55,4,-0.55,4,-2.4,3,-2.4,3
169,170,19,3,19,3,0.52,9,0.52,9,-2.06,4,-2.06,4
170,171,16,2,16,2,-0.34,5,-0.34,5,-1.9,5,-1.9,5
171,172,14,1,14,1,-0.89,3,-0.89,3,-2.31,3,-2.31,3
172,173,14,1,14,1,-0.37,5,-0.37,5,-2.63,2,-2.63,2
173,174,14,1,14,1,-1.31,2,-1.31,2,-3.3,1,-3.3,1
174,175,13,1,16,2,-1.04,2,-0.86,3,-2.85,2,-2.7,2
175,176,24,6,24,6,0.53,9,0.53,9,-1.36,7,-1.36,7
176,177,13,1,13,1,-0.58,4,-0.58,4,-1.49,7,-1.49,7
177,178,27,7,27,7,0.28,8,0.28,8,-1.88,5,-1.88,5
178,179,16,2,16,2,-2.04,1,-2.04,1,-3.43,1,-3.43,1
179,180,25,6,25,6,-0.03,7,-0.03,7,-1.2,8,-1.2,8
180,181,16,2,16,2,0.25,8,0.25,8,-1.32,7,-1.32,7
181,182,14,1,14,1,-1.52,2,-1.52,2,-2.85,2,-2.85,2
182,183,21,4,21,4,0.71,10,0.71,10,-1.45,7,-1.45,7
183,184,22,5,22,5,0.34,9,0.34,9,-2.12,4,-2.12,4
184,185,13,1,13,1,-1.31,2,-1.31,2,-2.77,2,-2.77,2
185,186,18,3,18,3,-1.45,1,-1.45,1,-3.38,1,-3.38,1
186,187,32,9,32,9,0.43,9,0.43,9,-2.4,3,-2.4,3
187,188,21,4,21,4,0.3,8,0.3,8,-1.21,8,-1.21,8
188,189,26,7,26,7,0.39,9,0.39,9,-1.73,6,-1.73,6
189,190,23,5,23,5,1.08,10,1.08,10,-1.44,7,-1.44,7
190,191,31,9,31,9,-0.53,4,-0.53,4,-3.1,1,-3.1,1
191,192,12,1,12,1,-2.36,1,-2.36,1,-4.36,1,-4.36,1
192,193,13,1,13,1,-0.25,6,-0.25,6,-1.22,8,-1.22,8
193,194,21,4,21,4,-0.86,3,-0.86,3,-3.39,1,-3.39,1
194,195,22,5,22,5,-0.82,4,-0.82,4,-1.83,5,-1.83,5
195,196,13,1,13,1,-1.39,1,-1.39,1,-2.62,2,-2.62,2
196,197,17,2,17,2,-1.26,2,-1.26,2,-2.7,2,-2.7,2
197,198,11,1,11,1,-1.1,2,-1.1,2,-2.24,3,-2.24,3
199,200,15,1,15,1,-1.32,2,-1.32,2,-3.35,1,-3.35,1
200,201,11,1,11,1,-0.51,5,-0.51,5,-1.67,6,-1.67,6
201,202,11,1,11,1,-1.11,2,-1.11,2,-2.5,3,-2.5,3
202,203,11,1,11,1,-1.45,2,-1.45,2,-2.49,3,-2.49,3
203,204,22,5,22,5,0.13,8,0.13,8,-1.49,7,-1.49,7
204,205,15,1,15,1,0.57,9,0.57,9,-1.0,8,-1.0,8
205,206,13,1,13,1,-0.86,4,-0.86,4,-2.66,2,-2.66,2
206,207,13,1,13,1,-1.04,3,-1.04,3,-2.31,3,-2.31,3
207,208,17,2,17,2,-1.14,2,-1.14,2,-2.95,1,-2.95,1
208,209,14,1,14,1,-0.77,5,-0.77,5,-1.91,5,-1.91,5
209,210,25,6,25,6,-0.06,7,-0.06,7,-2.51,3,-2.51,3
210,211,15,1,15,1,-0.73,4,-0.73,4,-3.51,1,-3.51,1
211,212,17,2,17,2,-1.2,2,-1.2,2,-3.32,1,-3.32,1
212,213,12,1,12,1,-1.0,3,-1.0,3,-2.54,3,-2.54,3
213,214,31,9,31,9,1.04,10,1.04,10,-0.38,10,-0.38,10
214,215,14,1,14,1,-1.28,2,-1.28,2,-2.29,3,-2.29,3
215,216,13,1,13,1,-1.13,2,-1.12,2,-3.4,1,-3.38,1
216,217,21,4,21,4,1.08,10,1.08,10,-1.04,8,-1.04,8
218,219,13,1,13,1,-0.82,3,-0.82,3,-2.3,3,-2.3,3
219,220,16,2,16,2,0.91,10,0.91,10,-0.61,10,-0.61,10
220,221,17,2,17,2,-1.41,1,-1.41,1,-3.63,1,-3.63,1
221,222,16,2,16,2,-2.13,1,-2.13,1,-3.71,1,-3.71,1
222,223,21,4,21,4,0.21,8,0.21,8,-1.98,4,-1.98,4
223,224,21,4,21,4,-0.25,6,-0.25,6,-1.86,5,-1.86,5
224,225,23,5,23,5,-0.48,5,-0.48,5,-2.65,2,-2.65,2
225,226,21,4,21,4,0.18,8,0.18,8,-2.34,3,-2.34,3
226,227,11,1,11,1,-1.29,3,-1.29,3,-2.93,2,-2.93,2
227,228,29,9,30,9,0.21,9,0.51,10,-0.83,9,-0.83,9
228,229,17,2,17,2,0.56,9,0.56,9,-1.03,8,-1.03,8
229,230,16,2,16,2,-1.86,1,-1.86,1,-3.99,1,-3.99,1
230,231,11,1,11,1,-0.48,6,-0.48,6,-1.25,8,-1.25,8
231,232,22,5,22,5,-0.57,6,-0.57,6,-2.46,3,-2.46,3
232,233,19,3,19,3,0.67,10,0.67,10,-0.31,10,-0.31,10
233,234,15,1,15,1,-1.68,1,-1.68,1,-3.76,1,-3.76,1
234,235,31,9,31,9,-0.06,7,-0.06,7,-1.73,6,-1.73,6
235,236,18,3,18,3,-2.07,1,-2.07,1,-3.8,1,-3.8,1
236,237,15,1,15,1,-1.24,2,-1.24,2,-3.24,1,-3.24,1
237,238,31,9,31,9,0.57,10,0.57,10,-0.65,9,-0.65,9
238,239,13,1,13,1,-0.53,4,-0.53,4,-1.99,4,-1.99,4
240,241,16,2,16,2,-0.98,4,-0.98,4,-2.17,4,-2.17,4
241,242,18,3,18,3,-2.25,1,-2.25,1,-3.99,1,-3.99,1
242,243,18,3,18,3,-0.74,4,-0.74,4,-2.11,4,-2.11,4
243,244,21,4,21,4,-0.29,7,-0.29,7,-2.06,4,-2.06,4
244,245,21,4,21,4,0.06,7,0.06,7,-1.19,8,-1.19,8
245,246,16,2,16,2,-1.3,2,-1.3,2,-3.29,1,-3.29,1
246,247,13,1,13,1,-1.79,1,-1.79,1,-3.23,1,-3.23,1
247,248,12,1,12,1,-1.1,2,-1.1,2,-2.07,4,-2.07,4
248,249,13,1,13,1,-1.56,1,-1.56,1,-3.08,1,-3.08,1
249,250,41,10,41,10,0.62,10,0.62,10,-1.98,4,-1.98,4
250,251,20,4,20,4,-0.57,6,-0.57,6,-2.89,2,-2.89,2
251,252,18,3,18,3,-0.45,5,-0.45,5,-2.07,4,-2.07,4
252,253,11,1,11,1,-1.46,1,-1.46,1,-2.89,2,-2.89,2
253,254,11,1,11,1,-1.07,2,-1.07,2,-2.28,3,-2.28,3
254,255,14,1,14,1,-0.9,3,-0.9,3,-2.61,2,-2.61,2
255,256,20,4,20,4,-0.48,6,-0.48,6,-1.55,6,-1.55,6
256,257,12,1,12,1,-0.85,3,-0.85,3,-1.74,5,-1.74,5
257,258,23,6,23,6,-0.19,7,-0.19,7,-2.5,3,-2.5,3
258,259,13,1,13,1,-2.06,1,-2.06,1,-3.98,1,-3.98,1
259,260,24,6,24,6,-0.64,4,-0.64,4,-3.07,1,-3.07,1
260,261,19,3,19,3,-0.24,6,-0.24,6,-1.99,4,-1.99,4
261,262,33,9,33,9,0.51,10,0.51,10,-2.22,4,-2.22,4
262,263,26,7,26,7,-2.03,1,-2.03,1,-3.37,1,-3.37,1
263,264,21,4,21,4,0.45,9,0.45,9,-1.32,7,-1.32,7
264,265,15,1,15,1,-0.3,6,-0.3,6,-1.53,6,-1.53,6
265,266,17,2,17,2,-1.8,1,-1.8,1,-3.6,1,-3.6,1
266,267,31,9,31,9,-1.3,2,-1.3,2,-3.28,1,-3.28,1
267,268,13,1,13,1,-2.63,1,-2.63,1,-4.32,1,-4.32,1
268,269,19,3,19,3,-1.7,1,-1.7,1,-3.69,1,-3.69,1
269,270,16,1,16,1,1.17,10,1.17,10,-1.21,8,-1.21,8
270,271,11,1,11,1,-1.11,2,-1.11,2,-2.21,4,-2.21,4
271,272,29,8,29,8,0.21,8,0.21,8,-1.97,5,-1.97,5
272,273,22,5,22,5,-0.5,5,-0.5,5,-2.98,1,-2.98,1
273,274,12,1,12,1,-1.46,1,-1.46,1,-3.15,1,-3.15,1
274,275,13,1,13,1,-0.44,5,-0.44,5,-1.75,5,-1.75,5
275,276,13,1,13,1,0.06,7,0.06,7,-1.56,6,-1.56,6
276,277,19,3,19,3,0.02,7,0.13,8,-3.23,1,-3.2,1
277,278,18,3,18,3,-1.14,2,-1.14,2,-2.16,4,-2.16,4
278,279,20,3,20,3,-1.73,1,-1.73,1,-3.93,1,-3.93,1
279,280,21,4,21,4,-0.8,5,-0.8,5,-2.8,2,-2.8,2
280,281,15,1,15,1,-1.48,1,-1.48,1,-2.98,1,-2.98,1
281,282,21,4,23,5,-0.73,4,-0.55,4,-2.31,3,-2.23,4
282,283,16,2,16,2,-0.6,5,-0.6,5,-2.6,2,-2.6,2
283,284,13,1,13,1,-2.22,1,-2.22,1,-3.75,1,-3.75,1
285,286,20,3,20,3,0.65,10,0.65,10,-1.48,7,-1.48,7
286,287,30,8,30,8,0.34,9,0.46,9,-1.13,8,-1.09,8
287,288,22,5,22,5,-0.67,4,-0.67,4,-1.98,4,-1.98,4
288,289,19,3,19,3,0.5,9,0.5,9,-1.25,8,-1.25,8
289,290,16,2,16,2,0.11,8,0.11,8,-1.13,8,-1.13,8
290,291,25,6,25,6,-1.0,3,-1.0,3,-2.13,4,-2.13,4
291,292,30,9,30,9,0.42,9,0.42,9,-3.06,1,-3.06,1
292,293,18,3,18,3,-0.83,3,-0.83,3,-2.08,4,-2.08,4
293,294,13,1,13,1,-1.15,2,-1.15,2,-2.98,1,-2.98,1
294,295,34,10,34,10,1.0,10,1.0,10,-1.19,8,-1.19,8
295,296,17,2,17,2,-1.11,3,-1.11,3,-2.23,4,-2.23,4
296,297,16,2,16,2,-1.0,4,-1.0,4,-2.04,4,-2.04,4
297,298,13,1,13,1,-0.94,3,-0.94,3,-3.0,1,-3.0,1
298,299,19,3,19,3,-2.39,1,-2.39,1,-3.93,1,-3.93,1
299,300,24,6,24,6,-1.12,3,-1.12,3,-3.39,1,-3.39,1
300,301,20,3,20,3,-0.58,4,-0.58,4,-2.2,4,-2.2,4
301,302,31,9,31,9,0.4,9,0.4,9,-0.67,9,-0.67,9
302,303,16,2,16,2,-1.74,1,-1.74,1,-3.1,1,-3.1,1
303,304,19,3,19,3,-0.35,5,-0.35,5,-2.09,4,-2.09,4
304,305,21,4,21,4,-1.86,1,-1.86,1,-3.1,1,-3.1,1
305,306,15,1,15,1,0.87,10,0.87,10,-1.14,8,-1.14,8
306,307,27,7,27,7,-0.28,6,-0.28,6,-2.77,2,-2.77,2
307,308,20,3,20,3,-1.17,2,-1.17,2,-2.48,3,-2.48,3
308,309,14,1,14,1,-1.15,3,-1.15,3,-2.83,2,-2.83,2
309,310,26,7,26,7,-0.09,8,-0.09,8,-1.53,6,-1.53,6
310,311,25,6,25,6,-0.47,5,-0.47,5,-2.37,3,-2.37,3
312,313,17,2,17,2,0.14,9,0.14,9,-1.73,6,-1.73,6
313,314,13,1,13,1,-1.66,1,-1.66,1,-3.17,1,-3.17,1
314,315,13,1,13,1,-1.84,1,-1.84,1,-3.26,1,-3.26,1
315,316,20,3,20,3,-0.7,4,-0.7,4,-2.36,3,-2.36,3
316,317,17,2,17,2,0.14,9,0.14,9,-1.38,7,-1.38,7
317,318,21,4,27,7,0.06,7,0.34,9,-1.2,8,-1.08,8
318,319,15,1,15,1,-2.73,1,-2.73,1,-4.11,1,-4.11,1
319,320,26,7,26,7,0.34,9,0.34,9,-2.41,3,-2.41,3
320,321,17,2,17,2,-0.41,5,-0.41,5,-2.06,4,-2.06,4
321,322,30,8,30,8,-0.21,6,-0.21,6,-2.09,4,-2.09,4
323,324,11,1,11,1,-1.46,2,-1.46,2,-2.6,2,-2.6,2
324,325,11,1,11,1,-2.61,1,-2.61,1,-4.3,1,-4.3,1
325,326,11,1,11,1,-2.51,1,-2.51,1,-4.05,1,-4.05,1
326,327,17,2,17,2,-1.05,2,-1.05,2,-2.9,2,-2.9,2
327,328,11,1,11,1,-0.68,4,-0.68,4,-1.41,7,-1.41,7
328,329,14,1,14,1,-1.48,1,-1.48,1,-3.33,1,-3.33,1
329,330,13,1,13,1,-2.3,1,-2.3,1,-3.86,1,-3.83,1
330,331,13,1,13,1,-0.89,3,-0.89,3,-2.0,4,-2.0,4
331,332,17,2,17,2,-0.3,7,-0.3,7,-2.06,4,-2.06,4
332,333,21,4,21,4,-0.37,6,-0.37,6,-2.25,3,-2.25,3
333,334,20,3,20,3,0.69,10,0.69,10,-0.65,9,-0.65,9
334,335,12,1,12,1,-1.72,1,-1.72,1,-3.29,1,-3.29,1
335,336,20,3,20,3,-0.59,4,-0.59,4,-2.68,2,-2.68,2
336,337,30,8,30,8,0.54,9,0.54,9,-0.83,9,-0.83,9
337,338,21,4,21,4,0.46,9,0.46,9,-1.8,5,-1.8,5
338,339,13,1,13,1,-0.23,6,-0.23,6,-1.88,5,-1.88,5
339,340,21,4,21,4,-1.52,1,-1.52,1,-2.61,2,-2.61,2
340,341,23,6,23,6,-0.88,4,-0.88,4,-1.56,6,-1.56,6
341,342,15,1,15,1,-0.39,6,-0.39,6,-1.53,6,-1.53,6
343,344,11,1,11,1,-1.81,1,-1.81,1,-3.35,1,-3.35,1
344,345,13,1,13,1,-1.77,1,-1.77,1,-3.57,1,-3.57,1
345,346,15,1,15,1,0.69,10,0.69,10,-1.68,6,-1.68,6
346,347,22,5,22,5,-0.53,4,-0.53,4,-2.95,1,-2.95,1
347,348,25,6,25,6,-0.67,4,-0.67,4,-2.3,3,-2.3,3
348,349,11,1,11,1,-1.41,1,-1.41,1,-2.84,2,-2.84,2
349,350,22,5,22,5,0.55,9,0.55,9,-2.04,4,-2.04,4
350,351,18,3,18,3,-0.44,5,-0.44,5,-2.28,3,-2.28,3
351,352,19,3,19,3,-1.32,2,-1.32,2,-2.34,3,-2.34,3
352,353,11,1,11,1,-1.58,2,-1.58,2,-3.04,1,-3.04,1
353,354,16,2,16,2,-0.74,4,-0.74,4,-1.7,6,-1.7,6
354,355,14,1,14,1,-1.04,2,-1.04,2,-2.77,2,-2.77,2
355,356,12,1,12,1,-0.61,4,-0.61,4,-2.2,4,-2.2,4
356,357,24,6,24,6,0.25,8,0.25,8,-1.96,5,-1.96,5
357,358,16,2,16,2,-1.07,2,-1.07,2,-3.02,1,-3.02,1
358,359,33,9,33,9,0.57,9,0.57,9,-1.06,8,-1.06,8
359,360,20,3,20,3,0.12,8,0.12,8,-1.59,6,-1.59,6
360,361,18,3,18,3,-2.45,1,-2.45,1,-3.92,1,-3.92,1
