Reported by,Year of Study Release,Population targeted by study,Population specifics,Program type (if any),Recidivism definition,Finding or Recidivism Rate,Other findings,Location 1
California Department of Corrections and Rehabilitation,2006,Felons,"62,004 Felons released on parole in 2004",None,"Reincarcerated within 1 year of release, and reincarcerated within 2 years of release",52.7% recidivism rate after 2 years for all felons. ,,California
California Department of Corrections and Rehabilitation,2009,Felons,"66,061 Felons released on parole in 2005",None,"Reincarcerated within 1, 2, and 3 years of release; ratio of the number of recidivists (number returned) to the number of felons at risk of recidivating (number paroled) during the specified period.","39.9% recidivism rate after 1 year; 54.2% recidivism rate after 2 years, and 59% recidivism rate after 3 years. ",,California
California Department of Corrections and Rehabilitation,2009,Felons,"69,044 Felons released on parole in 2006",None,"Reincarcerated within 1 year of release, and reincarcerated within 2 years of release",40.2% recidivism rate after 1 year; 52.3% recidivism rate after 2 years. ,,California
"Office of Research and Statistics, Division of Criminal Justice, Colorado Department of Public Safety.",2006,Felons who participated in community programs,"20, 385 offenders who either successfully completed or unsuccessfully completed stays with halfway houses between 2000-2004. Successful completion included program completion and transfer to non-residential community corrections status, on probation/parole supervision, or completion of sentence. Unsuccessful completion involved new crime and warrants or absconding or escaping.",Reentry House,New misdemeanor or felony within 1 year and 2 years of release.,26.8% recidivated after 2 years.,"Employed individuals were less likely to recidivate as were people with more education; whites were less likely to recidivate than black and Latino ex-offenders, married individuals were less likely to recidivate than single ex-offenders.",Colorado
Colorado Department of Corrections,2005,Felons,Felons,None,Return to prison within 3 years of release from prison.,49.8% recidivated after 3 years,,Colorado
RKC Group,2008,Felons,Felons ,None,Return to prison within 3 years of release from prison.,49% recidivated after 3 years,"Comprehensive study, reports on other studies: GED attainment helps find employment post-release, which then reduces recidivism rates. Drug treatment programs (therapeutic communities) reduce recidivism and are just as effective for those who are coerced into treatment as those who enter voluntarily. One study done by the Center for Court Innovation (CCI) in New York. found recidivism rates for drug court participants was 29% lower than for similar offenders who did not participate in drug court",Colorado
Department of Corrections and Central Connecticut State University’s Institute for the Study of Crime and Justice,2006,Felons,"8,821 felons released from 2001-2006",None,Reconviction within the 5 year period between 2001-2006,39% reconviction rate,"47% recidivated who were not given supervision post-release.  Supervision in halfway house significantly reduced recidivism, to 24% (or half of the reconviction rate of those unsupervised).",Connecticut
"Office of Policy & Management, Criminal Justice Policy and Planning Division, Research, Analysis and Evaluation Unit",2009,Felons,"16, 486 felons released in 2004",None,"3 year follow-up; 1) new arrests 2) new convictions 3) any incidence of re-incarceration, 4) returns to prison with a new sentence","Within 3 years of release: 67% arrested for new offense, 55.6% convicted of new offense, 56% were incarcerated (any reincarceration), 36.7% reincarcerated for new offenses ","Those released to half-way houses were less likely to be rearrested (63.7%), reconvicted (51.7%), and reincarcerated (35.5%) across the release cohort. For example, probationers and those under transitional supervision were rearrested, reconvicted, and reincarcerated at rates of 70.8%, 59%, and 41.7%. Those in transitional supervision were rearrested at 71.7%, reconvicted at 57.8%, and reincarcerated at 37.3% of the time. Modest decline in reincarceration rate for new offense from 2006 study.",Connecticut
Alternatives to Violence Program,2005,Felons who participated in conflict resolution program,300 male felons who voluntarily participated in Alternative to Violence Program,Alternatives to Violence Conflict Resolution Program,"Reconviction within 1, 2, and 3 years of release",11.5% reconvicted within 3 years of release,"Compared to recidivism rates of non-participants, those who participated in the conflict resolution program were reconvicted less often.  But these individuals may differ since they volunteered to participate in the program.",Delaware
Delaware Department of Corrections,2000,Felons,Felons,None,Reincarceration within 30-36 months after release,47.50%,,Delaware
Center for Drug & Alcohol Studies,2005,Felons who participated in drug courts,452 probation-violators with substance abuse problems sentenced to drug courts between October of 1993 and March of 1997,Drug Court/Therapeutic courts,Reconviction within 3 years of graduation from drug court,"33% of drug court graduates were reconvicted,  80% of those who were dismissed or left voluntarily before graduating were reconvicted","Those coded as violent offenders (for charges prior to drug court) were significantly more likely to re-offend post release from drug court, and more likely to reoffend with a violent offense (almost 25% compared to less than 10% for those coded as non-vi",Delaware
Delaware Juvenile Drug Court Diversion Program,2000,Juveniles,154 first-time juvenile offenders admitted to therapeutic diversion program in 2 Delaware counties,Drug Court/Therapeutic courts,Reconviction within 1 year of release or termination of program,35% of graduates recidivated compared to 60% who did not complete the program ,A matched comparison group showed a 50% recidivism rate,Delaware
Office of Management and Budget Statistical Analysis Center,2007,Juvenile sex offenders,22 sex offenders released in 2001,None,Rearrest and reincarceration within 5 years of release,"77% rearrested  within 5 years of release, 41% rearrested for a new sex crime and 64% rearrested for a felony within 5 years of release",Black juvenile sex offenders (41%) were more likely to be rearrested than white juvenile sex offenders (36%). ,Delaware
Office of Management and Budget Statistical Analysis Center,2007,Adult sex offenders,78 sex offenders released in 2001,None,Rearrest within 3 years of release,71.8% rearrested for any new crime or violation of probation/parole,Overall recidivism was higher for blacks than whites. ,Delaware
Office of Management and Budget Statistical Analysis Center,2009,Serious and Violent Offenders,303 offenders (92 successfully completed program),Serious and Violent offender Reentry Initiative (SVORI),Rearrest for a new felony within one year of starting the SVORI program,76.20%,"63.5% for those who completed SVORI program, compared to 82.1% for offenders who did not complete the program. For Hispanic males (n=17) the SVORI participants were arrested within one year (100%), while the remaining 13 males who did not participate, were least likely to recidivate (69.2%). White females had the best outcomes among those who participated and completed the SVORI program. White females also had the lowest rearrest rate (41.7%), followed by black females at 66.7% and were less likely to complete SVORI compared to white females. At about the same successful completion rate, black males recidivated (68.5%) at a higher rate than white males (52.9%).",Delaware
New Mexico Independent,2008,Felons,Felons,None,Reconviction within 3 years of release from prison,46.70%,,New Mexico
Office of Management and Budget Statistical Analysis Center,2009,Juveniles,"1,048 released from Level V residential placement; 2,354 released from Level IV placement; 3,964 released from Level III placement","Locked secure facility (level V), staff secure (level IV) or a non-secure program (level III); levels define intensity of programming and residential placement; synonymous with idea of max-med-low security facilities","Rearrest for a felony within 6,12,18,24, and 36 months",Level V locked secure facility: 43% rearrested; Level IV staff secure programs: 40% arrested; Level III non-secure program: 30% rearrested.,,Delaware
District of Columbia Department of Corrections,2008,Felons,Felons,None,Reincarceration within 1 year,23% for all inmates,,District of Columbia
Florida Department of Corrections,2003,Felons,"96,415 male and female inmates ",None,Reconviction and reimprisonment within 60 months of release from prison,"55.8%, 38.7%, and 41.6% of black, other race, and Hispanic males reoffended. 44.2%, 40.5%, and 35.8% of black, other race, and Hispanic females reoffended. Similarly, 45.1%, 28.1%, and 31.7% of black, other race and Hispanic males were reimprisoned, while 25.4%, 23.2%, and 19.9% of black, other race, and Hispanic females were reimprisoned","Female inmates reoffend at a lower rate than males, the reoffense rates of inmates over age 44 at release (the largest category) are about 22 percentage points lower than inmates aged 18 to 24 (the smallest category), 15% more Blacks reoffend than whites, those with lower education reoffend more than those with slightly higher educational attainment.",Florida
Georgia Department of Corrections,2007,Felons,Felons,None,Reconviction within 3 years of release from prison,28%,"28%, down from 37% in 2006 after instituting ""Risk Reduction Services""",Georgia
Hawaii Youth Correctional Facility,2001,Juveniles,370 juveniles released between FY 1996 and 1998,,"Rearrest, reconviction, or reincarceration within 2 years of release from juvenile facility","82% rearrested, 57.3% reconvicted, 32.2% reincarcerated",,Hawaii
Hawaii Department of Attorney General,2005,Felons,"1,200 Offenders who whose risk was assessed and various levels of supervision were given based on risk level",Levels of Service Inventory Revised (LSI-R) risk assessment tool,"Rearrest within 6 months of release and categorized by different levels associated with LSIR, meaning offenders with high probabilities of offending were given services that corresponded with the various levels of LSI-R. Such levels included (1) administrative; or no LSI-R assessment, (2) low, (3) medium, (4) high levels, and (5) Surveillance, which corresponded with use of LSI-R risk assessments for offenders that scores offenders based on needs","In order of level categorized: Administrative 22.6%, Low 32.9%, Medium 42.2%, High 41.6%, Surveillance 42.2%","Basically the LSI-R is a good predictor of recidivism rates in Hawaii.  Takes into account offender's current age, age at first conviction, prior arrests, etc.",Hawaii
Idaho Department of Corrections,2007,Felons,Felons,None,"Previous discharged offenders, probationers, and parolees who are reincarcerated, revoked, or incarcerated for a new crime within 5 years of release",74% of discharged offenders recidivate within 5 years; 82% of probationers recidivate within 30 months and declines to 12% after 3 years; 83% of parolees recidivate within 2 years and declines to 6% after 3 years.  ,"50% of probationers who recidivate will do so within one year, 83% within 2 years.",Idaho
University of Cincinnati ,2003,Felons who participated in drug courts,Felons who participated in drug courts,Drug Court/Therapeutic courts,"Rearrest and reincarceration within an average of 419 days and 1,243 days respectively",80% of drug court graduates were not rearrested and only 8% committed drug offenses,Those who failed to complete the program had a 60% rearrest rate; 53% of those in the comparison group recidivated ,Idaho
Maine Department of Corrections,2007,Juveniles,"Juveniles, 2004 cohort",None,Juveniles who are adjudicated for a second offense during supervision or within one year of release from MDOC supervision,18%,Drug and alcohol offenses accounted for 18% of all new adjudications.,Maine
Illinois Criminal Justice Information Authority,2004,Gang members released in 2000 from IL prison,"All inmates released from IL prison in 2000 (2,354 inmates) 26% of whom were considered to be active gang members",None,Rearrest and re-incarceration within about 26 months (2.2 years) from release in 2000,"75% of active gang members rearrested, about 63% of non-gang members rearrested",Gang members were more likely to be arrested for drug crimes (40%) than non-gang members (29%),Illinois
"University of Missouri, St. Louis submitted to ICJIA",2000,Probationers,"3,017 inmates discharged from probation in 2000",Drug Treatment,Rearrest within 4 years,"Treatment completers had a recidivism rate of 37% after four years, those who failed out of treatment had a recidivism rate of 67% after four years. Drug users without any treatment had a 53% recidivism rate after four years.",Probationers with a history of drug abuse significantly more likely to be rearrested post-probation: within four years 1.4 times as likely and 1.3 times as likely to be rearrested on a drug-related charge.,Illinois
Indiana Department of Corrections,2007,Felons,Felons,None,Reconviction within 3 years of release from prison,38%,Nearly 50% of those charged with weapons charges recidivated; the younger the offenders were the more likely they were to recidivate; sex offenders were the most likely to recidivate,Indiana
Indiana Department of Corrections,2007,Juveniles,"1, 543 Juveniles released in 2004",None,Reincarceration within 3 years of release from prison,A third (34%) of juveniles recidivated,"Nearly 38% of African American juvenile offenders returned to the DOC, a higher rate than both Caucasian and Hispanic offenders; 74% of juveniles returned for a new crime, as opposed to a technical violation",Indiana
Human Rights Division of Criminal and Juvenile Justice Planning Statistical Analysis Center,2001,Felons,Felons,None,Reconviction within 5 years of release from prison in FY 96,"31.7% of parolees, and 35.2% of releases whose sentences expired","Violent offenders returned at lower rates than non-violent offenders, and sex offenders had the lowest rate of recidivism. Violent young offenders (under 21) had the highest recidivism rates of any offense/age group",Iowa
Minnesota Department of Corrections,2006,Felons participating in re-entry program: Serious Offender Accountability Restoration (SOAR),240 Offenders ( 208 adults and 32 juveniles) divided into an experimental group (N=208) and a control group (N=121),Re-entry,Felon reconviction and reincarceration for a new crime within 2 years of release from prison,26% were reconvicted compared to 20% of control group,"SOAR participants had significantly greater criminal histories than offenders in the control group, despite random assignment",Minnesota
"Iowa Department of Human Rights, Division of Criminal and Juvenile Justice Planning and Statistical Analysis Center",2000,Sex Offenders,434: 2 groups of sex offenders (201 pre-registry and 233 registry),Development of Sex Offender Registry,"Reconviction for any sex crime, non-sex crime, and revocation of parole or probation within 4.3 years","24.5% of registry sex offenders were convicted of a new crime, 3.0% of which were sex crimes. 33.3% pre-registry sex offenders were convicted of a new crime, 3.5% of which were sex crimes.",Almost a fifth (18%) of new convictions were out-of-state convictions,Iowa
Division of Criminal and Juvenile Justice Planning,2004,Violent Offenders,"1,768 violent offenders",None,"New arrests (felony, violent), reincarceration, and new arrest for a sex crime within 3 years",52.2% of violent offender releases were rearrested within 3 years; 28.6%violent offender releases were reincarcerated within 3 years; and 23.6% of violent offender releases were convicted of a new offense and reincarcerated within 3 years,Native Americans showed the highest rates of recidivism after 3 years. African Americans generally showed higher recidivism rates than Caucasians. Those released without parole had rates of new violent felonies 43% higher than those released on parole.,Iowa
"Iowa Department of Human Rights, Division of Criminal and Juvenile Justice Planning",2005,Juveniles,"13, 032 Juveniles referred",None,Delinquency complaints within 3 years of initial complaint,34% reoffended and 66% did not reoffend in 8 out 9 districts within Iowa. ,,Iowa
"Cindy J. Smith, Ph.D. and Jennifer Bechtel, M.S.",2005,Felons,"1, 091 Felons",Prison Industries Enhancement Certification Program (PIECP),"New arrest, conviction, and incarceration in less than 2 years and up to 4.5 years","52.2% were not rearrested, 66.9% were not convicted, and 95.2% were not reincarcerated. Compared to the control groups--work in traditional correctional industries and other than work (no industry work/job)--the rates of success are comparable",,Iowa
Kansas Department of Corrections,2007,Felons who participated in various programs,Felons,"Variety of program participants evaluated, including: sex offender program, 3 kinds of substance abuse programs, vocational education program, pre-release program, work release program, inner change program","Reconviction within 1, 2 and 3 years of release from program","Rates of reconviction: Sex offender program (37.5%), Substance Abuse Treatment Program: ADAPT (37.5%), Substance Abuse Treatment Program: CDRP (30.7%), Substance Abuse Treatment Program: TC (31.4%), Vocational Education Program (39%), Pre-Release Program (46.1%), Work Release Program (32.6%), Inner Change (28.1%), TTP (85.7%)",Sex offender treatment was the most beneficial; those who needed program but didn't receive treatment recidivated at a rate of 56.1% vs. those who were in the program recidivating at 37.7%; Substance abuse treatment (3 types) had beneficial outcomes; those who received treatment recidivated at slightly lower rates than those who needed treatment and did not receive it.,Kansas
Kentucky Department of Corrections,2003,Felons,"7, 579 Felons",None,Reconviction within 2 years of release from prison,27.50%,Violent offenders had higher recidivism rates than other groups; those with supervised release returned in greater numbers than those who were discharged; a higher percentage of blacks returned than whites,Kentucky
Louisiana Department of Public Safety and Corrections,2009,Adults,Total population (male and female),None,Reconviction or technical revocation within 5 years,"Recidivism trend from 2003 to 2008: 2003 (46.5%), 2004 (45.8%), 2005 (41.6%), 2006 (34.6%), 2007 (26.7%), 2008 (11.1%)",,Louisiana
Maine Statistical Analysis Center,2008,"1, 316 Juveniles","Juveniles, 2005 cohort",None,Any individual who records a first adjudication in Maine's juvenile court system for offenses committed before the age of 18 and records a second adjudication for a new offense in Maine's juvenile court system or Maine's adult court system,27% (a significant increase compared to the 2004 cohort rate of 18%),Juveniles tracked into the adult system also maintained higher recidivism rates (24%) than the previous year. Drug and alcohol offenses accounted for 22% of adjudications for first time juvenile offenders,Maine
Maine Statistical Analysis Center,2008,Adults,Adults,None,"An arrest (or ticket, and summons) for any municipal, state, or federal misdemeanor or felony crime measured within 6 months, 1 year, 2 years, and 3 years",25.4% after 1 year of release,,Maine
Correctional Education Association ,1998,Felons: comparing those in education programs to those not in education programs,Felons participating in education programs,Education,"Rearrest, reconviction, and reincarceration",Participants had a 30.9% reincarceration rate; non-participants had a 37.7% reincarceration rate,,Maryland
Urban Institute,2008,Felons,"1,786 male felons",None,Reconviction within 3 years of release,39% (or 35% without technical violations),"Recidivists tended to be younger, unmarried, and to have served shorter sentences, and blacks recidivated at higher rates than whites. Non-violent offenders recidivated at higher rates than violent offenders. Drug offenders serving mandatory minimums had lower recidivism rates than those serving non-mandatory sentences. Parolees had higher recidivism rates than those who were released because of sentence expiration.",Massachusetts
Michigan Department of Human Services,2005,Juveniles released from residential treatment,"2,379 juveniles released from residential treatment",Juvenile Residential Treatment,Felony arrest within 2 years of release from juvenile facility,37% for felony arrest and 10% for incarceration,Recidivism rates were higher for minorities,Michigan
Minnesota Department of Corrections,2002,Felons,Felons,None,Reconvicted within 3 years of release from prison,24%,19% of Minnesota’s offenders are returned to prison with a new crime within three years,Minnesota
Minnesota Department of Corrections,2007,Sex Offenders,"3,166 sex offenders released from a state correctional facility between 1990 and 2002",Sex offender treatment and post-release supervision,"Rearrest, reconviction, and reincarceration for a new crime; Average follow-up was 8.4 years, with a minimum of 3 years and maximum of 16 years","After 3 years, 7 % rearrested for a sex offense, 6% reconvicted, and 3% reincarcerated; after 3 years, 24% of the offenders has been rearrested for a non-sex offense, 19% reconvicted, and 9% reincarcerated.","Intensive supervised release (ISR), supervised release, supervised release revocations (amount of time spent in prison for supervised released violations and deducted from total at-risk time), and successful participation/completion of sex offender treatment each significantly reduced the risk of timing to a sex reoffense; longer post-release supervision period and offenders with a history of victimizing male children significantly reduced the risk timing to a non-sexual offense",Minnesota
Supreme Court of Missouri,2009,Juveniles,"15, 910 juveniles",None,"Referral to the juvenile office for a legally sufficient law violation (ordinance violations, misdemeanor, or felony) during a calendar year and receives one or more law violation(s) to juvenile or adult court within one year of initial referral's disposition date.",26%,"29% male offenders reoffend within 12 months, compared to 19% of females. 31% of black youth return to the care of juvenile authorities through recidivating, followed by American Indian offenders (26%), and white offenders (24%).",Missouri
Missouri Sentencing Commission,2007,Sex Offenders,808 sex offenders who completed a sex offender program,STATIC-99 Sex offender program (risk assessment tool),Reconviction within 3 years,29.7% within three years,"0.6% convicted of a new sex offense; 60% of high risk sex offenders returned within 3 years, 26.3% for moderate-high risk offenders, 32.3% for low-moderate risk offenders, and 18.2% for low risk sex offenders",Missouri
Missouri Sentencing Commission,2007,Felons,Sentences,Recommended sentences,"Reincarceration and new conviction within 6 months, 1, 2, 3, and 5 years","Recidivism rates are lowest under a probation sentence, increases with Community Structured Supervision (CSS) sentences, and is highest for prison and shock and treatment programs.","When the recommended sentence of probation is imposed (occurs 77% of the time), recidivism rates are low. However, when the recommended sentence is probation and actual sentence is prison, recidivism rates are much higher, whether measured by new conviction or reincarceration. The same high trend of recidivism continues if the scenario is reversed.",Missouri
Rhode Island Department of Corrections,2004,Felons,"3, 324 released Felons",None,Reconviction within 2 years of release from prison,46%,"Those released from Home Confinement had lower recidivism rates than those released from secure facilities. Those in substance abuse treatment programs had about a 23% recidivism rate, lower than those with abuse issues who did not complete treatment",Rhode Island
University of Montana-Missoula/Montana Department of Corrections,2005,Felons who participated in sex offender or drug abuse treatment,,Sex Offender Treatment & Drug abuse treatment,Adult offender who returns to prison within 3 years of release,Drug/chemical dependence treatment rate: 55.3% of compliant participants recidivated compared to 77% of those without any treatment. 38.2% of treatment compliant sex offenders recidivated.,"For those in the drug abuse treatment program, the longer the sentence, the higher the recidivism rate.  Drug treatment had best impact on white inmates who were under 40 at time of release.",Montana
University of Montana-Missoula/Montana Department of Corrections,2006,Felons,885 (successfully completed pre-release stays),Pre-release program,Within calendar year 2002 and FY 2004-2005,"55%  who were discharged from pre-release centers did not recidivate, while 45% were reincarcerated",Persons coming from prisons (to pre-release center) were significantly less likely to recidivate than those coming from other referral sources,Montana
University of Montana-Missoula/Montana Department of Corrections,2004,Felons (female),23 females,Medical Wheel (Native American based chemical dependency program) & Anger Management treatment,Return to prison for any reason within 3 years of release,"Overall recidivism rate was 22.7% (N=5): for treatment population, 17.6% (N=3) and 40% for the non-treatment population (N=2).","Those inmates who completed medicine wheel had lower rates of recidivism than those in the comparable non-treatment group. The same follows for inmates who completed the anger management treatment. Native American inmates benefited more from the medicine wheel treatment, but not anger management treatment, where they were more likely to return to prison",Montana
Nebraska Department of Corrections,2007,Felons,Felons,None,Reconviction within 3 years of release from prison,25.50%,,Nebraska
Nevada Department of Corrections,2007,Felons,Felons,None,Readmission within 3 years of release from prison,"In 2004, 24%",,Nevada
New Hampshire Department of Corrections,2009,Felons,"1,082 Felons",None,Reincarceration as a result of a new sentence or parole or probation revocation within three years of release,44.20%,"Recidivism rate for males was 45.2%; females 34.6%; males younger than 25 had highest recidivism rate (52.8%) while females between 20-25 and in their forties recidivated 41.7% and 40% of the time, respectively. Offenders convicted of drug crimes had the lowest recidivism rate (36.5%) compared to those convicted of violent crimes (40.3%), public order crimes (47.6%), and property crimes (50.2%).",New Hampshire
New Jersey Department of Corrections Research and Evaluation Unit,2007,Homicide Offenders,"Random sample of 336 homicide offenders; Typology used: 1) homicide precipitated by a general altercation or argument, 2) homicide during the commission of a felony, 3) domestic violence-related homicide, and 4) a homicide relating to an accident (involuntary; usually DUI related)",None,Committing another homicide within 5 years,0% for new homicides,Slightly over 1/3 recidivism rate for new violent and drug offenses in the felony homicide group; 27% recidivism rate for homicide offenders whose offenses were precipitated by an altercation; less than 10% for domestic violence homicide offenders,New Jersey
New Jersey Department of Corrections Research and Evaluation Unit,2005,Sex Offenders,718 sex offenders released in 1994 and 1997 (495 in treatment group and 223 general population),Adult Diagnostic Treatment Center (ADTC),"Rearrest, reconviction, and reincarceration within 4 years (1997 cohort) and 7 years (1994 cohort) which is then divided into nonsexual recidivism and sexual recidivism","33% recidivated by committing a new offense, including 14% committing a sexual offense and 24% a nonsexual offense.","Significant differences exist between offenders who received treatment in the Adult Diagnostic Treatment Center (ADTC), a sex-offender-specific prison, and the general population in regard to nonsexual reoffending only",New Jersey
New Jersey Department of Corrections ,,Adult felons,Adult felons,None,"Rearrest, reconviction, and reincarceration rate","55% rearrested, 43% reconvicted, and 31% reincarcerated","Of those offenders rearrested, about half were rearrested within 9 months of release",New Jersey
University of Memphis,2006,Juveniles in drug court,62 juveniles who exited the juvenile drug court program between 2001-2002,Juvenile Drug Court,"Any referral to the Juvenile Justice Department, or any new arrest as an adult (exposure time varied)",Juvenile drug court graduates recidivated at rate of 28%,"Compared to similar subjects who did not receive drug court treatment, those who participated in the program had much lower recidivism rates",New Mexico
New York State Division of Probation and Correctional Alternatives,2007,Sex Offenders,"19, 837 sex offenders on sex offender registry",None,"New arrest, charge, conviction or incarceration  within 2 years of registration",24% arrested for a new crime,,New York
New York State Division of Probation and Correctional Alternatives,2009,Probationers,Probationers,None,"Felony rearrest within 1,2, and 3 years of release","12.4% rearrested within 1 year, 20.1% within 2 years and 25.7% within 3 years","Probationers were  less likely to be rearrested for a felony drug offense than for a felony offense defined as ""other"" or for a violent felony offense",New York
North Carolina Sentencing and Policy Advisory Commission,2008,Felons,"56, 983 offenders released in FY 2003-04",None,"Rearrest, reconviction, and reincarceration within 3 years; Two interim outcomes also measured: technical revocation of probation or post-release supervision and prison infractions during incarceration","38.7% rearrested, 26.4% reconvicted, and 29.1% reincarcerated","Most rearrests occurred within the first year of release, Factors that decreased the probability of rearrest included being married, employed, having at least twelve years of education, having a felony as the current conviction, having a longer prison sentence imposed, and having more prior incarcerations. Age also decreased an offender’s chance of rearrest, with offenders being less likely to be rearrested as they grew older. Those with post-release supervision had lower rearrest rates than those without PRS. Ages 21 and younger had the highest recidivism rates.",North Carolina
North Carolina Sentencing and Policy Advisory Commission,2009,Juveniles,"20, 236 juveniles",None,"All subsequent delinquent complaints and adult arrests within 3 years following first court event of sample period (June 1, 2004--June 30, 2005)",Overall recidivism rate: 56.6%,Violent juvenile offenders were least likely to recidivate (39.8%) compared to serious (57.5%) and minor offense (56.9%) juvenile offenders.,North Carolina
North Dakota State University,2004,Juveniles in drug court,90 juveniles who participated in drug courts by 2004,Drug Court (n=2),Rearrest within 4 years,"For the first drug court evaluated, East Central Judicial District, graduates were more likely to be charged with a substance abuse violation (50%) than those terminated from the program (48%) and the comparison group (21%). Conversely, for the second drug court evaluated, Northeast Central Judicial District graduates were less likely (12%) to be charged with a substance abuse violation than those terminated (38%) and the comparison group (21%). However, this latter finding is not statistically significant. Differences between the two drug courts may be attributed to different lengths of stay at each drug court and late admission to the East Central drug court.","Those who did not complete the program because of termination due to age (becoming 18 before completion) or other factors had higher recidivism rates than the comparison group. The older participants had higher rates of recidivism (closer to 18, many of which probably terminated because of this fact)",North Dakota
