,gender_male,age_at_release,gang_affiliated,supervision_risk_score_first,education_level,dependents,prison_years,prior_arrest_episodes_felony,prior_arrest_episodes_misd,prior_arrest_episodes_violent,prior_arrest_episodes_property,prior_arrest_episodes_drug,prior_arrest_episodes_ppviolationcharges,prior_arrest_episodes_dvcharges,prior_arrest_episodes_guncharges,condition_mh_sa,condition_cog_ed,condition_other,violations_electronicmonitoring,violations_instruction,violations_failtoreport,violations_movewithoutpermission,delinquency_reports,program_attendances,residence_changes,avg_days_per_drugtest,drugtests_thc_positive,drugtests_cocaine_positive,drugtests_meth_positive,drugtests_other_positive,percent_days_employed,recidivism_within_3years
21,1,33-37,0,5.0,less than hs diploma,3,1-2 years,10,6,0,1,5,5,0,0,1,1,0,0,0,0,0,0,6,0,22.85,0.050000001,0.0,0.0,0.0,1.0,0
22,0,48 or older,0,4.0,high school diploma,0,1-2 years,2,6,3,5,0,1,1,0,1,1,0,0,0,0,0,0,6,0,15.5,0.0,0.0,0.055555556,0.0,0.0,0
23,0,43-47,0,5.0,less than hs diploma,0,1-2 years,10,6,3,5,1,5,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.99137931,0
24,1,38-42,0,5.0,less than hs diploma,3,less than 1 year,10,6,3,1,5,5,1,0,0,0,0,0,0,0,0,0,0,1,196.0,0.0,0.0,0.0,0.0,0.196428571,1
25,1,48 or older,0,2.0,less than hs diploma,1,1-2 years,9,5,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1
26,1,48 or older,0,2.0,less than hs diploma,0,1-2 years,9,6,0,0,2,5,0,0,1,0,1,0,0,0,0,4,6,0,31.0,0.0,0.0,0.0,0.0,0.806451613,0
27,1,48 or older,0,3.0,less than hs diploma,0,1-2 years,10,6,3,5,1,5,0,0,1,1,0,0,0,0,0,0,5,1,43.14285714,0.0,0.0,0.0,0.0,0.0,1
28,1,43-47,0,6.0,high school diploma,0,greater than 2 to 3 years,7,6,0,5,0,2,0,1,1,1,0,0,0,0,0,0,0,3,357.4,0.0,0.0,0.0,0.0,0.895355344,0
29,1,18-22,0,10.0,less than hs diploma,0,1-2 years,5,2,0,2,4,1,0,0,1,0,1,0,0,0,0,0,0,3,1087.0,1.0,0.0,0.0,0.0,0.0,1
30,1,43-47,0,10.0,at least some college,0,1-2 years,10,6,3,5,0,5,1,1,1,0,1,0,1,0,0,4,2,0,23.8,0.0,0.0,0.200000003,0.200000003,0.714285714,1
31,0,43-47,0,9.0,less than hs diploma,0,1-2 years,10,6,2,5,0,4,0,0,1,1,0,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.0,0
32,1,43-47,1,8.0,high school diploma,1,1-2 years,10,2,3,4,2,5,0,1,1,1,0,0,0,0,0,0,6,0,101.0,0.0,0.0,0.0,0.0,0.0,1
33,0,38-42,0,10.0,at least some college,3,1-2 years,10,6,0,5,5,5,0,0,1,0,0,0,0,0,0,0,6,0,44.625,0.0,0.0,0.0,0.0,0.0,1
34,1,33-37,0,4.0,less than hs diploma,0,less than 1 year,5,6,1,0,4,5,0,1,0,0,0,0,0,0,0,2,3,0,12.71428571,0.285714298,0.0,0.285714298,0.142857149,0.0,1
35,1,48 or older,0,2.0,less than hs diploma,0,less than 1 year,10,6,1,5,4,4,0,0,1,0,0,0,1,0,1,4,1,2,27.72727273,0.0,0.227272734,0.0,0.0,0.654098361,0
36,1,43-47,0,3.0,high school diploma,2,less than 1 year,10,6,3,1,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,1,33-37,1,6.0,less than hs diploma,0,greater than 2 to 3 years,10,6,0,5,0,5,0,0,1,1,0,0,1,0,1,3,0,1,71.06666667,0.06666667,0.0,0.0,0.0,0.0,1
38,1,33-37,0,3.0,high school diploma,3,less than 1 year,8,6,2,2,1,5,0,0,1,0,1,0,0,0,0,0,4,0,13.16666667,0.0,0.0,0.0,0.0,1.0,1
39,0,38-42,0,2.0,at least some college,1,1-2 years,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.981412639,0
40,1,33-37,0,10.0,high school diploma,1,more than 3 years,10,6,1,5,1,5,0,0,1,1,1,0,0,0,0,2,4,1,16.28571429,0.142857149,0.0,0.285714298,0.0,1.0,1
41,1,48 or older,0,3.0,high school diploma,3,1-2 years,9,4,3,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,136.5,0.0,0.0,0.0,0.0,0.886446886,0
42,0,43-47,0,2.0,at least some college,0,less than 1 year,10,6,3,5,1,5,0,0,1,0,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,1
43,1,33-37,0,9.0,high school diploma,3,less than 1 year,10,6,2,4,4,5,0,1,1,1,1,0,0,1,0,4,10,0,145.5,0.0,0.0,0.0,0.0,0.0,1
44,1,43-47,1,5.0,high school diploma,0,1-2 years,8,6,3,2,2,5,0,1,1,1,1,0,0,0,0,4,0,2,56.33333333,0.0,0.0,0.0,0.0,1.0,1
45,1,38-42,0,4.0,less than hs diploma,3,greater than 2 to 3 years,5,4,1,1,0,3,0,0,0,0,1,1,0,0,0,0,4,0,25.77272727,0.0,0.0,0.0,0.0,0.50617284,1
46,1,38-42,0,4.0,high school diploma,2,less than 1 year,4,6,0,2,3,4,0,0,1,0,0,0,0,0,0,4,6,0,16.86,0.059999999,0.0,0.039999999,0.039999999,0.985765125,0
47,1,38-42,0,3.0,high school diploma,1,1-2 years,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,10,0,97.8,0.0,0.0,0.0,0.0,1.0,0
48,1,33-37,0,4.0,high school diploma,3,less than 1 year,6,2,0,2,2,1,0,1,1,0,0,0,0,0,0,0,6,3,109.3333333,0.0,0.0,0.0,0.0,0.734756098,1
49,1,38-42,0,9.0,less than hs diploma,0,greater than 2 to 3 years,7,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,50.31578947,0.0,0.0,0.0,0.0,1.0,0
50,0,43-47,0,7.0,at least some college,0,1-2 years,10,6,0,5,5,5,0,1,1,1,0,0,1,0,0,4,10,3,33.84848485,0.0,0.0,0.030303031,0.0,0.064458371,0
51,1,33-37,0,9.0,at least some college,0,less than 1 year,10,6,1,5,4,5,0,0,1,1,1,0,0,1,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
52,1,18-22,0,8.0,at least some college,3,1-2 years,6,3,1,1,1,4,1,0,1,1,0,0,1,1,1,4,10,3,15.87878788,0.060606062,0.0,0.030303031,0.030303031,0.286259542,1
53,1,48 or older,0,5.0,less than hs diploma,3,less than 1 year,10,6,2,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,1,38-42,0,5.0,high school diploma,3,1-2 years,8,6,0,5,1,5,0,0,0,0,1,0,0,0,0,0,10,0,36.89655172,0.0,0.0,0.0,0.0,0.945794393,0
55,1,23-27,0,8.0,less than hs diploma,3,greater than 2 to 3 years,4,2,2,0,3,2,1,0,1,1,0,0,1,0,0,4,8,3,858.0,0.5,0.0,0.0,0.0,0.0,1
57,1,33-37,0,7.0,less than hs diploma,1,1-2 years,4,5,0,1,0,5,0,1,1,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.816425121,1
58,1,38-42,0,5.0,at least some college,0,greater than 2 to 3 years,10,6,3,5,1,5,1,0,0,1,1,0,0,0,0,4,0,2,115.7142857,0.142857149,0.0,0.0,0.0,0.0,1
59,1,33-37,0,7.0,high school diploma,3,1-2 years,6,6,0,1,5,4,0,0,1,1,0,0,0,0,0,0,6,0,532.0,0.0,0.0,0.0,0.0,0.211466165,1
60,1,43-47,0,6.0,less than hs diploma,3,1-2 years,6,6,0,0,5,3,0,1,1,0,0,0,0,0,0,0,10,0,12.21621622,0.0,0.0,0.081081077,0.0,0.0,1
61,1,33-37,0,9.0,less than hs diploma,1,greater than 2 to 3 years,7,5,1,2,5,3,0,0,1,1,0,0,1,0,0,0,10,0,78.0,0.210526317,0.0,0.0,0.0,0.220647773,0
62,0,48 or older,0,3.0,less than hs diploma,0,less than 1 year,10,5,0,5,0,5,0,0,1,1,0,0,0,0,0,0,0,1,13.53846154,0.0,0.0,0.0,0.0,0.0,0
63,1,43-47,0,3.0,high school diploma,2,less than 1 year,10,6,2,5,5,5,0,0,1,0,0,0,0,1,0,0,0,0,135.6666667,0.0,0.0,0.0,0.0,0.314496314,0
64,0,43-47,0,7.0,high school diploma,2,greater than 2 to 3 years,10,6,3,5,1,5,1,0,1,1,0,0,0,0,0,0,1,1,33.2,0.0,0.0,0.050000001,0.100000001,0.954819277,0
65,0,48 or older,0,7.0,high school diploma,0,1-2 years,4,3,0,2,1,2,0,0,1,1,0,0,1,0,1,4,9,0,159.875,0.0,0.125,0.0,0.0,0.254104769,1
66,1,33-37,1,10.0,at least some college,0,1-2 years,10,6,0,5,4,5,0,0,1,0,0,0,1,0,0,0,0,1,22.5,0.0,0.0,0.0,0.0,0.0,1
67,1,28-32,0,7.0,less than hs diploma,3,1-2 years,4,5,0,2,1,2,1,0,1,1,0,0,0,0,0,2,0,3,89.77777778,0.0,0.0,0.0,0.0,1.0,0
69,1,33-37,0,6.0,high school diploma,3,more than 3 years,10,6,3,3,4,5,0,0,0,0,1,0,1,0,1,4,10,3,344.8571429,0.571428597,0.0,0.0,0.0,0.186412593,0
70,0,48 or older,0,3.0,less than hs diploma,0,1-2 years,7,5,0,4,1,3,0,0,1,1,0,0,0,0,0,0,0,3,78.28571429,0.0,0.0,0.0,0.0,0.708029197,1
72,1,33-37,0,8.0,less than hs diploma,0,greater than 2 to 3 years,10,6,1,5,0,5,0,1,0,0,1,0,1,0,1,4,10,1,68.66666667,0.0,0.0,0.0,0.0,0.964805825,0
73,1,33-37,0,10.0,less than hs diploma,3,1-2 years,8,1,0,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,120.6,0.0,0.0,0.0,0.0,0.0,0
74,1,38-42,0,7.0,high school diploma,3,less than 1 year,10,6,3,5,4,5,0,1,1,0,1,0,0,0,0,0,1,0,70.5,0.25,0.0,0.0,0.0,0.943262411,1
75,1,43-47,0,5.0,high school diploma,0,more than 3 years,6,6,3,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,398.0,0.0,0.0,0.0,0.0,0.0,1
76,1,43-47,0,10.0,at least some college,3,more than 3 years,10,6,0,5,1,4,0,0,0,0,0,0,0,0,0,0,6,1,34.15789474,0.0,0.052631579,0.052631579,0.0,0.25577812,0
77,0,43-47,0,9.0,high school diploma,2,1-2 years,10,3,1,5,5,3,0,0,1,1,0,0,0,1,0,2,10,0,95.75,0.0,0.0,0.0,0.0,0.381201044,1
78,1,33-37,0,9.0,less than hs diploma,1,more than 3 years,8,5,1,2,4,5,0,0,1,0,0,0,0,0,1,3,10,0,55.54545455,0.121212125,0.0,0.0,0.0,0.605564648,0
79,1,33-37,0,5.0,high school diploma,2,1-2 years,6,4,1,2,2,1,0,0,1,1,1,0,0,0,1,0,1,1,33.47368421,0.0,0.0,0.0,0.0,0.878930818,0
80,1,33-37,0,5.0,high school diploma,0,1-2 years,10,6,3,5,2,5,1,0,1,0,1,0,0,0,0,0,0,2,32.2,0.0,0.0,0.0,0.0,0.01242236,1
81,1,33-37,0,1.0,high school diploma,1,greater than 2 to 3 years,10,1,3,4,0,5,0,0,1,1,0,0,0,0,0,0,0,0,471.5,0.0,0.5,0.0,0.0,0.0,1
82,1,48 or older,0,10.0,at least some college,3,1-2 years,10,6,2,5,1,5,0,0,1,0,0,0,0,1,0,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1
83,1,38-42,0,7.0,high school diploma,0,greater than 2 to 3 years,10,2,2,2,5,5,0,1,1,0,0,0,0,0,0,0,4,1,69.3,0.0,0.0,0.0,0.0,0.227994228,0
84,0,33-37,0,1.0,less than hs diploma,3,less than 1 year,10,6,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
85,1,43-47,0,6.0,high school diploma,0,1-2 years,9,6,1,3,3,5,0,0,1,1,0,0,0,0,0,0,10,0,37.25,0.0,0.0,0.0,0.0,1.0,1
86,1,28-32,0,5.0,high school diploma,0,less than 1 year,7,6,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,132.3333333,0.0,0.0,0.0,0.0,1.0,0
87,0,33-37,0,7.0,high school diploma,2,more than 3 years,10,6,2,5,1,5,0,0,1,0,1,0,0,0,0,0,0,2,185.5,0.0,0.0,0.0,0.0,0.859838275,1
88,1,33-37,0,6.0,high school diploma,1,1-2 years,10,6,2,5,2,5,1,0,1,1,0,0,0,0,0,0,0,0,372.75,0.0,0.0,0.0,0.0,0.071763917,1
89,1,43-47,0,1.0,high school diploma,3,1-2 years,7,6,3,0,4,4,0,1,1,1,0,0,0,0,0,0,6,0,33.04545455,0.045454547,0.0,0.0,0.0,0.894085282,0
90,1,33-37,0,9.0,high school diploma,1,1-2 years,8,5,0,5,2,3,0,0,1,1,0,0,0,0,0,0,6,1,33.15,0.0,0.0,0.0,0.0,0.876319759,0
91,1,38-42,0,5.0,less than hs diploma,2,less than 1 year,10,6,2,1,1,5,0,1,1,0,0,0,0,0,0,0,0,1,25.6,0.0,0.0,0.0,0.0,0.2890625,1
92,1,33-37,0,4.0,high school diploma,2,less than 1 year,6,2,1,1,0,2,0,1,1,0,0,0,0,0,0,0,10,0,34.2,0.06666667,0.0,0.0,0.0,0.651072125,1
93,1,28-32,0,6.0,high school diploma,0,less than 1 year,10,6,2,4,4,5,0,1,1,0,0,0,0,0,0,0,0,0,7.857142857,0.0,0.0,0.0,0.0,1.0,1
94,1,33-37,0,6.0,less than hs diploma,0,1-2 years,10,1,2,1,5,1,0,0,1,1,0,0,0,0,0,0,6,1,45.85714286,0.071428575,0.0,0.0,0.0,1.0,1
95,1,43-47,0,10.0,high school diploma,0,1-2 years,10,6,0,5,2,5,1,0,1,1,0,0,0,0,0,0,6,2,137.2222222,0.0,0.0,0.0,0.0,0.153036437,1
96,0,28-32,0,10.0,less than hs diploma,1,greater than 2 to 3 years,10,6,0,4,2,5,0,0,1,1,0,0,0,0,1,4,10,0,30.6,0.100000001,0.200000003,0.0,0.100000001,0.173202614,0
97,1,33-37,0,8.0,high school diploma,0,1-2 years,6,5,0,0,5,3,0,1,1,0,0,0,0,0,0,0,6,0,40.25,0.0,0.0,0.0,0.0,1.0,1
98,1,48 or older,0,6.0,high school diploma,3,greater than 2 to 3 years,10,6,0,5,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,1,48 or older,0,6.0,high school diploma,1,more than 3 years,10,6,2,0,5,5,0,1,1,0,0,0,0,0,0,3,5,1,43.57142857,0.0,0.0,0.0,0.0,0.0,0
100,0,33-37,0,5.0,at least some college,0,less than 1 year,4,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0.0,0.0,0.0,0.0,1.0,0
101,1,48 or older,0,3.0,high school diploma,2,less than 1 year,9,5,1,4,5,2,0,0,1,0,0,0,0,0,0,0,6,1,23.73333333,0.0,0.0,0.0,0.0,1.0,1
102,1,38-42,0,4.0,less than hs diploma,3,less than 1 year,5,2,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
103,1,33-37,0,8.0,high school diploma,2,greater than 2 to 3 years,7,6,2,3,0,5,0,0,0,1,1,0,1,1,0,0,0,1,164.2,0.100000001,0.0,0.0,0.0,0.974421437,0
104,0,43-47,0,6.0,less than hs diploma,3,less than 1 year,10,6,2,5,2,2,0,0,1,0,1,0,0,0,0,0,0,1,23.0,0.0,0.5,0.0,0.0,0.673913043,1
105,1,43-47,0,2.0,high school diploma,3,less than 1 year,10,6,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,95.33333333,0.0,0.0,0.0,0.0,1.0,1
106,0,38-42,0,8.0,less than hs diploma,0,less than 1 year,10,6,2,4,3,5,0,0,1,0,0,0,0,0,0,2,4,1,24.73333333,0.0,0.0,0.0,0.0,0.0,0
107,1,48 or older,0,4.0,high school diploma,3,1-2 years,3,1,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,1,117.0,0.0,0.0,0.0,0.0,0.0,0
108,0,43-47,0,10.0,less than hs diploma,1,greater than 2 to 3 years,10,6,1,5,2,5,0,0,0,0,0,0,0,0,0,0,2,1,142.4285714,0.0,0.0,0.142857149,0.0,0.459378134,1
109,1,48 or older,0,4.0,less than hs diploma,0,more than 3 years,10,6,3,5,3,5,0,0,0,1,1,0,0,0,0,0,0,1,66.8,0.0,0.0,0.0,0.0,0.395209581,1
110,1,33-37,0,6.0,high school diploma,1,1-2 years,10,6,2,1,5,5,0,0,1,1,0,0,0,0,0,0,0,3,64.2,0.0,0.0,0.06666667,0.0,0.473520249,1
111,1,38-42,0,10.0,at least some college,0,1-2 years,10,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
112,1,33-37,1,10.0,less than hs diploma,3,1-2 years,10,6,1,5,2,5,0,0,1,1,0,0,0,0,0,4,2,3,36.75,0.375,0.0,0.125,0.0,0.0,1
113,1,43-47,0,3.0,high school diploma,1,greater than 2 to 3 years,10,6,0,1,5,5,0,0,0,0,0,0,0,1,1,0,0,0,115.375,0.0,0.0,0.0,0.0,0.275189599,0
114,1,38-42,1,8.0,less than hs diploma,0,less than 1 year,10,5,3,5,0,5,0,0,1,1,0,0,1,1,1,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1
115,1,48 or older,0,8.0,less than hs diploma,3,less than 1 year,10,6,3,5,1,5,1,0,1,0,0,0,0,0,0,0,10,2,19.66666667,0.0,0.0,0.0,0.0,1.0,0
116,1,48 or older,0,4.0,high school diploma,3,greater than 2 to 3 years,10,6,3,5,2,4,1,1,1,1,1,0,0,0,0,0,0,2,121.75,0.0,0.0,0.0,0.0,0.159137577,1
117,1,48 or older,0,2.0,less than hs diploma,3,1-2 years,4,6,2,0,2,5,0,1,1,1,0,0,0,0,0,0,4,1,50.73333333,0.0,0.0,0.033333335,0.0,0.484888305,1
118,1,48 or older,0,1.0,less than hs diploma,0,less than 1 year,9,6,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.318376068,0
119,1,48 or older,0,3.0,high school diploma,1,less than 1 year,10,3,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,10.1,0.0,0.0,0.0,0.0,0.811881188,1
121,1,33-37,0,5.0,high school diploma,3,1-2 years,5,6,0,2,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.815384615,0
122,1,28-32,0,9.0,less than hs diploma,3,greater than 2 to 3 years,10,6,3,4,3,5,1,1,1,1,1,1,1,0,0,0,0,1,74.83333333,0.0,0.0,0.0,0.0,0.665924276,1
123,1,33-37,0,10.0,high school diploma,0,greater than 2 to 3 years,10,5,1,5,2,3,0,1,1,1,0,0,1,0,0,0,0,3,55.57894737,0.0,0.0,0.052631579,0.0,1.0,1
125,1,33-37,1,10.0,high school diploma,3,greater than 2 to 3 years,8,6,0,5,1,2,0,0,1,0,0,0,1,0,1,0,7,3,47.93333333,0.200000003,0.0,0.0,0.0,0.970792768,1
126,0,38-42,0,6.0,at least some college,3,1-2 years,9,4,1,3,4,3,0,0,1,0,0,0,0,0,0,0,9,0,48.55555556,0.0,0.0,0.0,0.0,1.0,0
127,1,48 or older,0,5.0,high school diploma,1,more than 3 years,6,4,1,5,0,0,1,0,0,0,0,0,0,0,0,4,5,2,37.32142857,0.0,0.035714287,0.035714287,0.0,0.411483254,1
128,1,33-37,0,6.0,high school diploma,3,less than 1 year,6,6,0,3,3,5,0,0,1,0,1,0,0,0,0,2,6,3,80.6,0.0,0.0,0.200000003,0.0,0.109181141,1
129,1,33-37,0,6.0,high school diploma,2,greater than 2 to 3 years,10,6,1,3,4,5,0,0,1,1,0,0,0,0,0,0,5,1,10.4,0.0,0.0,0.0,0.0,1.0,1
130,0,43-47,0,8.0,less than hs diploma,2,1-2 years,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,40.0,0.0,0.0,0.0,0.0,0.0,1
131,1,33-37,1,4.0,less than hs diploma,3,less than 1 year,10,6,3,5,5,5,0,0,1,0,0,0,1,1,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
132,0,48 or older,0,10.0,at least some college,0,1-2 years,10,6,1,5,5,3,0,1,1,0,0,0,0,0,0,0,10,1,81.60869565,0.0,0.0,0.0,0.0,0.457112413,1
133,0,33-37,0,8.0,less than hs diploma,3,1-2 years,9,4,0,5,1,5,0,0,1,1,0,0,0,0,0,0,10,3,19.76,0.0,0.079999998,0.0,0.0,0.74291498,0
134,0,38-42,0,10.0,high school diploma,0,more than 3 years,10,6,0,5,1,2,0,0,1,1,1,1,0,0,0,0,3,1,123.0555556,0.0,0.0,0.0,0.0,0.296613995,1
135,1,38-42,0,6.0,high school diploma,0,more than 3 years,7,3,0,0,4,5,0,1,0,0,0,0,0,0,0,0,10,3,9.752212389,0.0,0.0,0.0,0.0,1.0,0
136,1,33-37,0,5.0,less than hs diploma,3,less than 1 year,5,5,1,2,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1
137,1,33-37,0,4.0,high school diploma,2,less than 1 year,7,6,0,2,4,5,0,1,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,1
138,1,33-37,0,8.0,high school diploma,0,more than 3 years,7,5,0,0,5,5,0,0,1,1,0,0,1,0,0,2,0,0,13.6,0.0,0.0,0.0,0.0,1.0,1
139,1,38-42,0,10.0,less than hs diploma,0,less than 1 year,8,6,1,5,2,5,0,0,0,1,0,0,1,0,1,3,0,0,68.875,0.125,0.0,0.125,0.0,0.0,0
140,0,43-47,0,9.0,high school diploma,3,greater than 2 to 3 years,6,4,0,1,2,4,0,0,1,0,0,0,0,0,0,2,10,3,3.152317881,0.022075055,0.0,0.008830022,0.006622517,1.0,0
142,1,48 or older,0,6.0,high school diploma,0,1-2 years,10,6,3,5,4,5,1,0,0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,1
143,1,48 or older,0,4.0,less than hs diploma,0,greater than 2 to 3 years,10,3,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,383.5,0.0,0.0,0.0,0.0,1.0,0
144,1,43-47,0,5.0,at least some college,1,more than 3 years,5,6,3,3,0,2,1,1,0,0,0,0,0,0,0,0,7,0,45.08333333,0.0,0.0,0.0,0.0,0.924214418,1
145,1,38-42,0,8.0,high school diploma,0,less than 1 year,10,6,1,5,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0
146,1,33-37,0,3.0,at least some college,3,less than 1 year,4,4,1,1,2,0,0,0,1,0,1,0,0,0,0,2,6,0,10.48148148,0.0,0.0,0.037037037,0.0,1.0,1
