,gender_male,gang_affiliated,supervision_risk_score_first,dependents,prior_arrest_episodes_felony,prior_arrest_episodes_misd,prior_arrest_episodes_violent,prior_arrest_episodes_property,prior_arrest_episodes_drug,prior_arrest_episodes_ppviolationcharges,prior_arrest_episodes_dvcharges,prior_arrest_episodes_guncharges,condition_mh_sa,condition_cog_ed,condition_other,violations_electronicmonitoring,violations_instruction,violations_failtoreport,violations_movewithoutpermission,delinquency_reports,program_attendances,residence_changes,avg_days_per_drugtest,drugtests_thc_positive,drugtests_cocaine_positive,drugtests_meth_positive,drugtests_other_positive,percent_days_employed,recidivism_within_3years,age_at_release_18-22,age_at_release_23-27,age_at_release_28-32,age_at_release_33-37,age_at_release_38-42,age_at_release_43-47,age_at_release_48 or older,education_level_at least some college,education_level_high school diploma,education_level_less than hs diploma,prison_years_1-2 years,prison_years_greater than 2 to 3 years,prison_years_less than 1 year,prison_years_more than 3 years
53,1,0,5.0,3,8,6,0,5,1,5,0,0,0,0,1,0,0,0,0,0,10,0,36.89655172,0.0,0.0,0.0,0.0,0.945794393,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
54,1,0,8.0,3,4,2,2,0,3,2,1,0,1,1,0,0,1,0,0,4,8,3,858.0,0.5,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
55,1,0,7.0,1,4,5,0,1,0,5,0,1,1,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.816425121,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
56,1,0,5.0,0,10,6,3,5,1,5,1,0,0,1,1,0,0,0,0,4,0,2,115.7142857,0.142857149,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
57,1,0,7.0,3,6,6,0,1,5,4,0,0,1,1,0,0,0,0,0,0,6,0,532.0,0.0,0.0,0.0,0.0,0.211466165,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
58,1,0,6.0,3,6,6,0,0,5,3,0,1,1,0,0,0,0,0,0,0,10,0,12.21621622,0.0,0.0,0.081081077,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
59,1,0,9.0,1,7,5,1,2,5,3,0,0,1,1,0,0,1,0,0,0,10,0,78.0,0.210526317,0.0,0.0,0.0,0.220647773,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
60,0,0,3.0,0,10,5,0,5,0,5,0,0,1,1,0,0,0,0,0,0,0,1,13.53846154,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
61,1,0,3.0,2,10,6,2,5,5,5,0,0,1,0,0,0,0,1,0,0,0,0,135.6666667,0.0,0.0,0.0,0.0,0.314496314,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
62,0,0,7.0,2,10,6,3,5,1,5,1,0,1,1,0,0,0,0,0,0,1,1,33.2,0.0,0.0,0.050000001,0.100000001,0.954819277,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
63,0,0,7.0,0,4,3,0,2,1,2,0,0,1,1,0,0,1,0,1,4,9,0,159.875,0.0,0.125,0.0,0.0,0.254104769,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
64,1,1,10.0,0,10,6,0,5,4,5,0,0,1,0,0,0,1,0,0,0,0,1,22.5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
65,1,0,7.0,3,4,5,0,2,1,2,1,0,1,1,0,0,0,0,0,2,0,3,89.77777778,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
66,1,0,6.0,3,10,6,3,3,4,5,0,0,0,0,1,0,1,0,1,4,10,3,344.8571429,0.571428597,0.0,0.0,0.0,0.186412593,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
67,0,0,3.0,0,7,5,0,4,1,3,0,0,1,1,0,0,0,0,0,0,0,3,78.28571429,0.0,0.0,0.0,0.0,0.708029197,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
68,1,0,8.0,0,10,6,1,5,0,5,0,1,0,0,1,0,1,0,1,4,10,1,68.66666667,0.0,0.0,0.0,0.0,0.964805825,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
69,1,0,10.0,3,8,1,0,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,120.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
70,1,0,7.0,3,10,6,3,5,4,5,0,1,1,0,1,0,0,0,0,0,1,0,70.5,0.25,0.0,0.0,0.0,0.943262411,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
71,1,0,5.0,0,6,6,3,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,398.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
72,1,0,10.0,3,10,6,0,5,1,4,0,0,0,0,0,0,0,0,0,0,6,1,34.15789474,0.0,0.052631579,0.052631579,0.0,0.25577812,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
73,0,0,9.0,2,10,3,1,5,5,3,0,0,1,1,0,0,0,1,0,2,10,0,95.75,0.0,0.0,0.0,0.0,0.381201044,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
74,1,0,9.0,1,8,5,1,2,4,5,0,0,1,0,0,0,0,0,1,3,10,0,55.54545455,0.121212125,0.0,0.0,0.0,0.605564648,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
75,1,0,5.0,2,6,4,1,2,2,1,0,0,1,1,1,0,0,0,1,0,1,1,33.47368421,0.0,0.0,0.0,0.0,0.878930818,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
76,1,0,5.0,0,10,6,3,5,2,5,1,0,1,0,1,0,0,0,0,0,0,2,32.2,0.0,0.0,0.0,0.0,0.01242236,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
77,1,0,1.0,1,10,1,3,4,0,5,0,0,1,1,0,0,0,0,0,0,0,0,471.5,0.0,0.5,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
78,1,0,10.0,3,10,6,2,5,1,5,0,0,1,0,0,0,0,1,0,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
79,1,0,7.0,0,10,2,2,2,5,5,0,1,1,0,0,0,0,0,0,0,4,1,69.3,0.0,0.0,0.0,0.0,0.227994228,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
80,0,0,1.0,3,10,6,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
81,1,0,6.0,0,9,6,1,3,3,5,0,0,1,1,0,0,0,0,0,0,10,0,37.25,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
82,1,0,5.0,0,7,6,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,132.3333333,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
83,0,0,7.0,2,10,6,2,5,1,5,0,0,1,0,1,0,0,0,0,0,0,2,185.5,0.0,0.0,0.0,0.0,0.859838275,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
84,1,0,6.0,1,10,6,2,5,2,5,1,0,1,1,0,0,0,0,0,0,0,0,372.75,0.0,0.0,0.0,0.0,0.071763917,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
85,1,0,1.0,3,7,6,3,0,4,4,0,1,1,1,0,0,0,0,0,0,6,0,33.04545455,0.045454547,0.0,0.0,0.0,0.894085282,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
86,1,0,9.0,1,8,5,0,5,2,3,0,0,1,1,0,0,0,0,0,0,6,1,33.15,0.0,0.0,0.0,0.0,0.876319759,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
87,1,0,5.0,2,10,6,2,1,1,5,0,1,1,0,0,0,0,0,0,0,0,1,25.6,0.0,0.0,0.0,0.0,0.2890625,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
88,1,0,4.0,2,6,2,1,1,0,2,0,1,1,0,0,0,0,0,0,0,10,0,34.2,0.06666667,0.0,0.0,0.0,0.651072125,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
89,1,0,6.0,0,10,6,2,4,4,5,0,1,1,0,0,0,0,0,0,0,0,0,7.857142857,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
90,1,0,6.0,0,10,1,2,1,5,1,0,0,1,1,0,0,0,0,0,0,6,1,45.85714286,0.071428575,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
91,1,0,10.0,0,10,6,0,5,2,5,1,0,1,1,0,0,0,0,0,0,6,2,137.2222222,0.0,0.0,0.0,0.0,0.153036437,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
92,0,0,10.0,1,10,6,0,4,2,5,0,0,1,1,0,0,0,0,1,4,10,0,30.6,0.100000001,0.200000003,0.0,0.100000001,0.173202614,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
93,1,0,8.0,0,6,5,0,0,5,3,0,1,1,0,0,0,0,0,0,0,6,0,40.25,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
94,1,0,6.0,3,10,6,0,5,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
95,1,0,6.0,1,10,6,2,0,5,5,0,1,1,0,0,0,0,0,0,3,5,1,43.57142857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
96,0,0,5.0,0,4,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
97,1,0,3.0,2,9,5,1,4,5,2,0,0,1,0,0,0,0,0,0,0,6,1,23.73333333,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
98,1,0,4.0,3,5,2,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
99,1,0,8.0,2,7,6,2,3,0,5,0,0,0,1,1,0,1,1,0,0,0,1,164.2,0.100000001,0.0,0.0,0.0,0.974421437,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
100,0,0,6.0,3,10,6,2,5,2,2,0,0,1,0,1,0,0,0,0,0,0,1,23.0,0.0,0.5,0.0,0.0,0.673913043,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
101,1,0,2.0,3,10,6,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,95.33333333,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
102,0,0,8.0,0,10,6,2,4,3,5,0,0,1,0,0,0,0,0,0,2,4,1,24.73333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
103,1,0,4.0,3,3,1,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,1,117.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
104,0,0,10.0,1,10,6,1,5,2,5,0,0,0,0,0,0,0,0,0,0,2,1,142.4285714,0.0,0.0,0.142857149,0.0,0.459378134,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
105,1,0,4.0,0,10,6,3,5,3,5,0,0,0,1,1,0,0,0,0,0,0,1,66.8,0.0,0.0,0.0,0.0,0.395209581,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
106,1,0,6.0,1,10,6,2,1,5,5,0,0,1,1,0,0,0,0,0,0,0,3,64.2,0.0,0.0,0.06666667,0.0,0.473520249,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
107,1,0,10.0,0,10,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
108,1,1,10.0,3,10,6,1,5,2,5,0,0,1,1,0,0,0,0,0,4,2,3,36.75,0.375,0.0,0.125,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
109,1,0,3.0,1,10,6,0,1,5,5,0,0,0,0,0,0,0,1,1,0,0,0,115.375,0.0,0.0,0.0,0.0,0.275189599,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
110,1,1,8.0,0,10,5,3,5,0,5,0,0,1,1,0,0,1,1,1,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
111,1,0,8.0,3,10,6,3,5,1,5,1,0,1,0,0,0,0,0,0,0,10,2,19.66666667,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
112,1,0,4.0,3,10,6,3,5,2,4,1,1,1,1,1,0,0,0,0,0,0,2,121.75,0.0,0.0,0.0,0.0,0.159137577,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
113,1,0,2.0,3,4,6,2,0,2,5,0,1,1,1,0,0,0,0,0,0,4,1,50.73333333,0.0,0.0,0.033333335,0.0,0.484888305,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
114,1,0,1.0,0,9,6,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.318376068,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
115,1,0,3.0,1,10,3,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,10.1,0.0,0.0,0.0,0.0,0.811881188,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
116,1,0,5.0,3,5,6,0,2,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.815384615,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
117,1,0,9.0,3,10,6,3,4,3,5,1,1,1,1,1,1,1,0,0,0,0,1,74.83333333,0.0,0.0,0.0,0.0,0.665924276,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
118,1,0,10.0,0,10,5,1,5,2,3,0,1,1,1,0,0,1,0,0,0,0,3,55.57894737,0.0,0.0,0.052631579,0.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
119,1,1,10.0,3,8,6,0,5,1,2,0,0,1,0,0,0,1,0,1,0,7,3,47.93333333,0.200000003,0.0,0.0,0.0,0.970792768,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
120,0,0,6.0,3,9,4,1,3,4,3,0,0,1,0,0,0,0,0,0,0,9,0,48.55555556,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
121,1,0,5.0,1,6,4,1,5,0,0,1,0,0,0,0,0,0,0,0,4,5,2,37.32142857,0.0,0.035714287,0.035714287,0.0,0.411483254,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
122,1,0,6.0,3,6,6,0,3,3,5,0,0,1,0,1,0,0,0,0,2,6,3,80.6,0.0,0.0,0.200000003,0.0,0.109181141,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
123,1,0,6.0,2,10,6,1,3,4,5,0,0,1,1,0,0,0,0,0,0,5,1,10.4,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
124,0,0,8.0,2,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,40.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
